text,rating,date,useful_votes,producto,text_clean,text_length,year_month
"El celular es precioso! se lo regale a mi mamá y está fascinada, no he visto problemas y anda a la perfección! la batería una locura, mi mamá lo está usando un montón y todavía no lo ha cargado. Lo que si se me hizo curioso fue el cable del cargador, este vino con 2 fichas iguales (lo muestro en las ultimas fotos) y la verdad desconozco si ahora vienen así, se que ya con el cargador no vienen pero nunca vi que las fichas sean iguales, de todos modos tenemos muchos cargadores en casa así que no nos angustiados. Más allá de esto el celular me encantó y mi mamá está super contenta!.",5,2024-09-19,433,Samsung A15,el celular es precioso se lo regale a mi mama y esta fascinada no he visto problemas y anda a la perfeccion la bateria una locura mi mama lo esta usando un monton y todavia no lo ha cargado lo que si se me hizo curioso fue el cable del cargador este vino con 2 fichas iguales lo muestro en las ultimas fotos y la verdad desconozco si ahora vienen asi se que ya con el cargador no vienen pero nunca vi que las fichas sean iguales de todos modos tenemos muchos cargadores en casa asi que no nos angustiados mas alla de esto el celular me encanto y mi mama esta super contenta,114,2024-09
Súper lindo el celu muy recomendado.,5,2024-07-11,94,Samsung A15,super lindo el celu muy recomendado,6,2024-07
"Esta muy lindo. La cámara linda ,la batería dura un día con uso !! x el precio es muy bueno 👌 lastima vino con un cable usb solo pero es un detalle no. Mas.",5,2024-08-26,94,Samsung A15,esta muy lindo la camara linda la bateria dura un dia con uso  x el precio es muy bueno  lastima vino con un cable usb solo pero es un detalle no mas,32,2024-08
"Realmente el producto me encantó,publico algunas fotos porque la verdad es que a lo que yo le tenia desconfianza era a las cámaras. Están sacadas el fía quedo programé, con el correr de los días le estoy encontrando más cosas que están muy buenas. El equipo lo super recomiendo. Yo tenia un moto g 20. Los mega pídeles de las cámaras los mismos pero les aseguro que lo supera ampliamente. Por supuesto quebrara el valor del equipo van a encontrar mejores. Pero a mi me encantó. El sonido es espectacular los tonos son lindos no molesta. La batería sino lo usas demasiado te dura 2 días. Por ahora considero que es una compra a ciega que me salio excelente.",5,2024-10-22,72,Samsung A15,realmente el producto me encantopublico algunas fotos porque la verdad es que a lo que yo le tenia desconfianza era a las camaras estan sacadas el fia quedo programe con el correr de los dias le estoy encontrando mas cosas que estan muy buenas el equipo lo super recomiendo yo tenia un moto g 20 los mega pideles de las camaras los mismos pero les aseguro que lo supera ampliamente por supuesto quebrara el valor del equipo van a encontrar mejores pero a mi me encanto el sonido es espectacular los tonos son lindos no molesta la bateria sino lo usas demasiado te dura 2 dias por ahora considero que es una compra a ciega que me salio excelente,119,2024-10
Desde que conocí samsung no deje de usar desde el que venía con tapa y forma ovalada. Tengo 80 años y me gusta mucho el sistema de esta marca. Todas no use todas las ap. Amo el celular. No se subir fotos. Una pena. Pero no tiene que ver con ls calidad del movil.,5,2024-10-07,52,Samsung A15,desde que conoci samsung no deje de usar desde el que venia con tapa y forma ovalada tengo 80 anos y me gusta mucho el sistema de esta marca todas no use todas las ap amo el celular no se subir fotos una pena pero no tiene que ver con ls calidad del movil,54,2024-10
,5,2024-09-10,51,Samsung A15,,0,2024-09
"Muy bueno, hasta ahora estoy muy satisfecha, solo que el cabezal del cargador no lo trae, solo usb. A y la batería un poco me sorprendió pensé que hiba a durar mucho más. Pero estoy chocha con mí celular samsung a15 y lo mejor a muy buen precio 🤩 no desaprovechen samsung la mejor marca.",5,2024-09-11,33,Samsung A15,muy bueno hasta ahora estoy muy satisfecha solo que el cabezal del cargador no lo trae solo usb a y la bateria un poco me sorprendio pense que hiba a durar mucho mas pero estoy chocha con mi celular samsung a15 y lo mejor a muy buen precio  no desaprovechen samsung la mejor marca,54,2024-09
Hermoso celular y a un buen precio. Contenta con mercado libre. Excelente pagina.,5,2024-09-11,25,Samsung A15,hermoso celular y a un buen precio contenta con mercado libre excelente pagina,13,2024-09
"Después de probarlo varios días , llegué a la conclusión de que es un buen celular excelente , calidad precio. Lo volvería a comprar.",5,2024-08-13,24,Samsung A15,despues de probarlo varios dias  llegue a la conclusion de que es un buen celular excelente  calidad precio lo volveria a comprar,22,2024-08
"Es muy lindo y se ve resistente. Lo malo es que no trae nada. Nisiquiera cargador, cable usb. Nada. Creo que no es el más barato como para no traer nisiquiera un cargador.",5,2024-09-03,21,Samsung A15,es muy lindo y se ve resistente lo malo es que no trae nada nisiquiera cargador cable usb nada creo que no es el mas barato como para no traer nisiquiera un cargador,33,2024-09
"Un caño el celular, super rapido. Recomendable su compra.",5,2024-06-11,13,Samsung A15,un cano el celular super rapido recomendable su compra,9,2024-06
"Es excelente, las imagenes de fotos recomendable.",5,2024-09-17,13,Samsung A15,es excelente las imagenes de fotos recomendable,7,2024-09
Lo compre para hacer un regalo muy buen precio samsung lo mejor!!!!.,5,2024-08-09,12,Samsung A15,lo compre para hacer un regalo muy buen precio samsung lo mejor,12,2024-08
Perfectirijillo.,5,2024-09-25,12,Samsung A15,perfectirijillo,1,2024-09
Lo unico malo q tengo para criticar es que no viene el cargador. Solo el cable usb. Lo demas todo bien!.,5,2024-09-23,12,Samsung A15,lo unico malo q tengo para criticar es que no viene el cargador solo el cable usb lo demas todo bien,21,2024-09
Se lo compre a mi mamá y a mí novio. Por ahora ningún problema. Es buenísimo el celular y tiene una cámara hermosa.,5,2024-08-08,12,Samsung A15,se lo compre a mi mama y a mi novio por ahora ningun problema es buenisimo el celular y tiene una camara hermosa,23,2024-08
Super recomendable hermoso me encanto ♡♡♡.,5,2024-11-10,9,Samsung A15,super recomendable hermoso me encanto heartsheartshearts,6,2024-11
10pts.,5,2024-10-11,9,Samsung A15,10pts,1,2024-10
"Muy bueno y rapido, gran capacidad de bateria, viene sin cargador.",5,2024-07-10,8,Samsung A15,muy bueno y rapido gran capacidad de bateria viene sin cargador,11,2024-07
Acorde al precio muy buena camara y prestaciones.,5,2024-07-03,7,Samsung A15,acorde al precio muy buena camara y prestaciones,8,2024-07
Muy conforme con el producto. Excelente estado. Puntos en contra el que no traiga cargador. Sólo cable.,5,2024-10-10,6,Samsung A15,muy conforme con el producto excelente estado puntos en contra el que no traiga cargador solo cable,17,2024-10
"El celular a15 superó mis expectativas, veloz, súper !!! por su precio, es lo mejor que he podido haber conseguido. Altamente recomendable.",5,2024-08-13,6,Samsung A15,el celular a15 supero mis expectativas veloz super  por su precio es lo mejor que he podido haber conseguido altamente recomendable,21,2024-08
"Samsung, palabra mayor.",5,2024-07-29,5,Samsung A15,samsung palabra mayor,3,2024-07
Me encanto.,5,2024-05-22,5,Samsung A15,me encanto,2,2024-05
Buen producto.,5,2024-04-29,5,Samsung A15,buen producto,2,2024-04
"Se lo regale a mi hija de 15, y todavía no se quejo.",5,2024-12-07,4,Samsung A15,se lo regale a mi hija de 15 y todavia no se quejo,13,2024-12
"Fue destinado para un mayor adulto, así que más que conforme. Puntos a destacar: super amoled de 6,5 pulgadas, cámara principal de 50 mp, memoria 4g (te queda corto si sos más exigente), 128 g de capacidad (depende de tu utilidad), desbloquea la pantalla con la huella dactilar, procesador octa-core 2g (aceptable) y cuenta con nfc.",5,2024-12-06,4,Samsung A15,fue destinado para un mayor adulto asi que mas que conforme puntos a destacar super amoled de 65 pulgadas camara principal de 50 mp memoria 4g te queda corto si sos mas exigente 128 g de capacidad depende de tu utilidad desbloquea la pantalla con la huella dactilar procesador octacore 2g aceptable y cuenta con nfc,56,2024-12
"Mi suegra no se quejo, por lo tanto supongo que debe estar bueno.",5,2024-10-19,4,Samsung A15,mi suegra no se quejo por lo tanto supongo que debe estar bueno,13,2024-10
"Es un buen celular para el dia a dia, no para pavadas como los jueguitos, para eso comprate la play.",5,2024-10-05,4,Samsung A15,es un buen celular para el dia a dia no para pavadas como los jueguitos para eso comprate la play,20,2024-10
"Parece un muy buen celular. Si bien samsung es garantía, no puedo definir su durabilidad porque recién lo estoy utilizando. Parece que nos llevaremos bien él y yo.",5,2024-11-17,3,Samsung A15,parece un muy buen celular si bien samsung es garantia no puedo definir su durabilidad porque recien lo estoy utilizando parece que nos llevaremos bien el y yo,28,2024-11
Excelente.,5,2024-09-09,3,Samsung A15,excelente,1,2024-09
Muy bonito. La calidad para el precio está muy bien. Lo recomiendo por este precio.,5,2024-10-15,3,Samsung A15,muy bonito la calidad para el precio esta muy bien lo recomiendo por este precio,15,2024-10
Buen telefono por el precio.,5,2025-02-22,2,Samsung A15,buen telefono por el precio,5,2025-02
Lindo telefono pero la funcionalidad es bastante lenta para lo que son hoy los telefonos.,5,2024-12-27,2,Samsung A15,lindo telefono pero la funcionalidad es bastante lenta para lo que son hoy los telefonos,15,2024-12
Hola como estas buenas tardes no lo disfrute nada x q me lo robaron quería saber si tenia algún seguro como para poder recuperar hermoso celular 😪😪.,5,2024-12-03,2,Samsung A15,hola como estas buenas tardes no lo disfrute nada x q me lo robaron queria saber si tenia algun seguro como para poder recuperar hermoso celular ,26,2024-12
"Muy bueno lo estoy usando hace un tiempo, bien no se me tilda no se apaga la pantalla, en si es un (samsung).",5,2024-11-18,2,Samsung A15,muy bueno lo estoy usando hace un tiempo bien no se me tilda no se apaga la pantalla en si es un samsung,23,2024-11
Estoy muy feliz solo algunos detalles de una pequeña rotura en la caja del equipo pero funciona de maravillas. Además falta el sello de origen pero esta funcionando excelente.,5,2024-10-30,2,Samsung A15,estoy muy feliz solo algunos detalles de una pequena rotura en la caja del equipo pero funciona de maravillas ademas falta el sello de origen pero esta funcionando excelente,29,2024-10
Hola me parece un celular gama media exelente habría q comprarle un vidrio templado.,5,2024-10-27,2,Samsung A15,hola me parece un celular gama media exelente habria q comprarle un vidrio templado,14,2024-10
Excelente equipo!.,5,2024-10-18,2,Samsung A15,excelente equipo,2,2024-10
Muy bueno el celular quede conforme.,5,2024-07-13,2,Samsung A15,muy bueno el celular quede conforme,6,2024-07
Muy bueno.,5,2024-06-27,2,Samsung A15,muy bueno,2,2024-06
Está bueno.,5,2024-10-15,1,Samsung A15,esta bueno,2,2024-10
God.,5,2025-03-15,1,Samsung A15,god,1,2025-03
Mejor de lo que esperaba.,5,2025-03-11,1,Samsung A15,mejor de lo que esperaba,5,2025-03
