periodo,producto,rating_mean,rating_std,rating_count,useful_votes_mean,useful_votes_median,useful_votes_sum,text_length_mean,text_length_median,text_length_std
2022-12,Motorola G32,5.0,,1,17.0,17.0,17,12.0,12.0,
2023-01,Motorola G32,5.0,0.0,3,8.0,9.0,24,8.333333333333334,9.0,2.081665999466133
2023-02,Motorola G32,4.4,0.5477225575051663,5,9.8,3.0,49,12.0,9.0,10.653637876331258
2023-03,Motorola G32,4.5,0.7071067811865476,2,3.0,3.0,6,35.0,35.0,28.284271247461902
2023-04,Motorola G32,4.75,0.5,4,9.25,8.5,37,37.25,21.0,43.828263331629586
2023-05,Motorola G32,3.0,1.4142135623730951,4,3.0,2.0,12,15.0,15.0,12.24744871391589
2023-06,Motorola G32,4.193548387096774,1.0776318121606496,31,17.806451612903224,1.0,552,17.93548387096774,15.0,16.747010646422776
2023-07,Motorola G32,3.526315789473684,1.540866316669929,19,9.68421052631579,1.0,184,44.63157894736842,13.0,56.895821489139045
2023-08,Motorola G32,3.6666666666666665,1.1766968108291045,27,24.59259259259259,1.0,664,31.25925925925926,25.0,27.769092659330934
2023-09,Motorola G32,4.0,1.3877773329774217,28,4.75,3.0,133,13.107142857142858,7.0,12.395755802078462
2023-10,Motorola G32,3.902439024390244,1.0441474524409984,41,3.3658536585365852,0.0,138,16.536585365853657,16.0,12.245606479418669
2023-11,Motorola G32,3.838235294117647,0.8395146806543891,68,1.088235294117647,0.0,74,19.205882352941178,10.5,27.2783106796992
2023-12,Motorola G32,3.4878048780487805,1.0030441470721072,41,0.2926829268292683,0.0,12,18.634146341463413,13.0,17.302826499680588
2024-01,Motorola G32,3.608695652173913,0.8387832331734847,23,0.2608695652173913,0.0,6,17.434782608695652,15.0,15.11418986177776
2024-02,Motorola G32,3.5,1.2431631210161218,12,0.16666666666666666,0.0,2,19.5,13.5,19.42116933095992
2024-03,Motorola G32,3.272727272727273,1.1037127426019047,11,0.2727272727272727,0.0,3,15.818181818181818,14.0,11.22335227833629
2024-04,Motorola G32,3.3,1.4181364924121767,10,0.3,0.0,3,21.6,12.0,24.82024263468116
2024-04,Samsung A15,5.0,,1,5.0,5.0,5,2.0,2.0,
2024-05,Motorola G32,3.0,1.5491933384829668,6,1.0,0.0,6,20.333333333333332,12.5,20.19570911522214
2024-05,Samsung A15,5.0,,1,5.0,5.0,5,2.0,2.0,
2024-06,Motorola G32,2.8333333333333335,1.1690451944500122,6,0.16666666666666666,0.0,1,17.666666666666668,15.5,12.242004193213898
2024-06,Samsung A15,5.0,0.0,2,7.5,7.5,15,5.5,5.5,4.949747468305833
2024-07,Motorola G32,3.8,0.44721359549995787,5,0.0,0.0,0,7.0,8.0,3.0
2024-07,Samsung A15,4.181818181818182,1.4012980994907414,11,73.0909090909091,8.0,804,8.363636363636363,6.0,6.1526047698958735
2024-08,Motorola G32,3.25,1.2817398889233114,8,0.25,0.0,2,31.5,13.0,44.129679031560734
2024-08,Samsung A15,3.619047619047619,1.3219754338182874,21,10.476190476190476,2.0,220,13.619047619047619,12.0,7.921339473070136
2024-09,Motorola G32,4.0,1.5275252316519468,7,0.14285714285714285,0.0,1,18.714285714285715,14.0,17.05593040278841
2024-09,Samsung A15,3.5806451612903225,1.5005375380928683,31,26.967741935483872,10.0,836,23.451612903225808,13.0,28.15414559134222
2024-10,Motorola G32,4.695652173913044,0.5587959953568724,23,0.0,0.0,0,18.391304347826086,7.0,24.864613647867273
2024-10,Samsung A15,3.28125,1.3855117672336303,64,5.625,1.0,360,17.234375,12.0,22.390291396261997
2024-11,Motorola G32,4.413793103448276,1.1185846088220581,29,0.0,0.0,0,14.03448275862069,12.0,9.652841027463253
2024-11,Samsung A15,2.7,1.5551100755055172,50,5.28,2.0,264,16.52,13.0,12.40348864683823
2024-12,Motorola G32,4.454545454545454,0.8004327833694973,22,0.0,0.0,0,12.409090909090908,10.0,10.386158788132134
2024-12,Samsung A15,3.1343283582089554,1.5065063174400093,67,2.343283582089552,1.0,157,18.91044776119403,15.0,15.376813855344894
2025-01,Motorola G32,4.571428571428571,0.85163062725264,14,0.0,0.0,0,15.214285714285714,7.5,17.506827553529252
2025-01,Samsung A15,3.3518518518518516,1.2462382250144124,54,4.185185185185185,0.0,226,21.185185185185187,14.5,27.42266936766146
2025-02,Motorola G32,4.818181818181818,0.40451991747794536,11,0.18181818181818182,0.0,2,12.090909090909092,9.0,13.31506324021441
2025-02,Samsung A15,3.4691358024691357,1.1841285799384969,81,0.345679012345679,0.0,28,15.679012345679013,10.0,15.717686821296116
2025-03,Motorola G32,4.428571428571429,0.5345224838248487,7,0.0,0.0,0,20.857142857142858,20.0,22.901445161303474
2025-03,Samsung A15,3.4526315789473685,1.2183737072349854,95,0.24210526315789474,0.0,23,14.852631578947369,9.0,15.961368536385326
2025-04,Motorola G32,4.631578947368421,0.7608859102526822,19,0.0,0.0,0,13.736842105263158,5.0,14.200321221965986
2025-04,Samsung A15,4.183333333333334,1.0689139492084128,120,0.008333333333333333,0.0,1,14.775,9.0,17.05624038686292
