producto,rating,cluster,text,date,tb_polarity,tb_subjectivity,tb_category
Samsung A15,5,4,"El celular es precioso! se lo regale a mi mamá y está fascinada, no he visto problemas y anda a la perfección! la batería una locura, mi mamá lo está usando un montón y todavía no lo ha cargado. Lo que si se me hizo curioso fue el cable del cargador, este vino con 2 fichas iguales (lo muestro en las ultimas fotos) y la verdad desconozco si ahora vienen así, se que ya con el cargador no vienen pero nunca vi que las fichas sean iguales, de todos modos tenemos muchos cargadores en casa así que no nos angustiados. Más allá de esto el celular me encantó y mi mamá está super contenta!.",2024-09-19,0.41666666666666663,0.6666666666666666,Positivo
Samsung A15,5,4,Súper lindo el celu muy recomendado.,2024-07-11,0.0,0.0,Neutral
Samsung A15,5,8,"Esta muy lindo. La cámara linda ,la batería dura un día con uso !! x el precio es muy bueno 👌 lastima vino con un cable usb solo pero es un detalle no. Mas.",2024-08-26,0.0,0.0,Neutral
Samsung A15,5,4,"Realmente el producto me encantó,publico algunas fotos porque la verdad es que a lo que yo le tenia desconfianza era a las cámaras. Están sacadas el fía quedo programé, con el correr de los días le estoy encontrando más cosas que están muy buenas. El equipo lo super recomiendo. Yo tenia un moto g 20. Los mega pídeles de las cámaras los mismos pero les aseguro que lo supera ampliamente. Por supuesto quebrara el valor del equipo van a encontrar mejores. Pero a mi me encantó. El sonido es espectacular los tonos son lindos no molesta. La batería sino lo usas demasiado te dura 2 días. Por ahora considero que es una compra a ciega que me salio excelente.",2024-10-22,0.3333333333333333,0.6666666666666666,Positivo
Samsung A15,5,4,Desde que conocí samsung no deje de usar desde el que venía con tapa y forma ovalada. Tengo 80 años y me gusta mucho el sistema de esta marca. Todas no use todas las ap. Amo el celular. No se subir fotos. Una pena. Pero no tiene que ver con ls calidad del movil.,2024-10-07,0.0,0.0,Neutral
Samsung A15,5,6,"Muy bueno, hasta ahora estoy muy satisfecha, solo que el cabezal del cargador no lo trae, solo usb. A y la batería un poco me sorprendió pensé que hiba a durar mucho más. Pero estoy chocha con mí celular samsung a15 y lo mejor a muy buen precio 🤩 no desaprovechen samsung la mejor marca.",2024-09-11,0.0,0.0,Neutral
Samsung A15,5,4,Hermoso celular y a un buen precio. Contenta con mercado libre. Excelente pagina.,2024-09-11,0.0,0.0,Neutral
Samsung A15,5,3,"Después de probarlo varios días , llegué a la conclusión de que es un buen celular excelente , calidad precio. Lo volvería a comprar.",2024-08-13,0.0,0.0,Neutral
Samsung A15,5,6,"Es muy lindo y se ve resistente. Lo malo es que no trae nada. Nisiquiera cargador, cable usb. Nada. Creo que no es el más barato como para no traer nisiquiera un cargador.",2024-09-03,0.0,0.0,Neutral
Samsung A15,5,4,"Un caño el celular, super rapido. Recomendable su compra.",2024-06-11,0.3333333333333333,0.6666666666666666,Positivo
Samsung A15,5,1,"Es excelente, las imagenes de fotos recomendable.",2024-09-17,0.0,0.0,Neutral
Samsung A15,5,4,Lo compre para hacer un regalo muy buen precio samsung lo mejor!!!!.,2024-08-09,0.0,0.0,Neutral
Samsung A15,5,4,Perfectirijillo.,2024-09-25,0.0,0.0,Neutral
Samsung A15,5,6,Lo unico malo q tengo para criticar es que no viene el cargador. Solo el cable usb. Lo demas todo bien!.,2024-09-23,0.0,0.0,Neutral
Samsung A15,5,4,Se lo compre a mi mamá y a mí novio. Por ahora ningún problema. Es buenísimo el celular y tiene una cámara hermosa.,2024-08-08,0.0,0.0,Neutral
Samsung A15,5,4,Super recomendable hermoso me encanto ♡♡♡.,2024-11-10,0.3333333333333333,0.6666666666666666,Positivo
Samsung A15,5,4,10pts.,2024-10-11,0.0,0.0,Neutral
Samsung A15,5,6,"Muy bueno y rapido, gran capacidad de bateria, viene sin cargador.",2024-07-10,0.0,0.0,Neutral
Samsung A15,5,3,Acorde al precio muy buena camara y prestaciones.,2024-07-03,0.0,0.0,Neutral
Samsung A15,5,6,Muy conforme con el producto. Excelente estado. Puntos en contra el que no traiga cargador. Sólo cable.,2024-10-10,0.0,0.0,Neutral
Samsung A15,5,4,"El celular a15 superó mis expectativas, veloz, súper !!! por su precio, es lo mejor que he podido haber conseguido. Altamente recomendable.",2024-08-13,0.0,0.0,Neutral
Samsung A15,5,4,"Samsung, palabra mayor.",2024-07-29,0.0,0.0,Neutral
Samsung A15,5,4,Me encanto.,2024-05-22,0.0,0.0,Neutral
Samsung A15,5,5,Buen producto.,2024-04-29,0.0,0.0,Neutral
Samsung A15,5,4,"Se lo regale a mi hija de 15, y todavía no se quejo.",2024-12-07,0.0,0.0,Neutral
Samsung A15,5,4,"Fue destinado para un mayor adulto, así que más que conforme. Puntos a destacar: super amoled de 6,5 pulgadas, cámara principal de 50 mp, memoria 4g (te queda corto si sos más exigente), 128 g de capacidad (depende de tu utilidad), desbloquea la pantalla con la huella dactilar, procesador octa-core 2g (aceptable) y cuenta con nfc.",2024-12-06,0.3333333333333333,0.6666666666666666,Positivo
Samsung A15,5,0,"Mi suegra no se quejo, por lo tanto supongo que debe estar bueno.",2024-10-19,0.0,0.0,Neutral
Samsung A15,5,5,"Es un buen celular para el dia a dia, no para pavadas como los jueguitos, para eso comprate la play.",2024-10-05,0.0,0.0,Neutral
Samsung A15,5,2,"Parece un muy buen celular. Si bien samsung es garantía, no puedo definir su durabilidad porque recién lo estoy utilizando. Parece que nos llevaremos bien él y yo.",2024-11-17,0.0,0.0,Neutral
Samsung A15,5,1,Excelente.,2024-09-09,0.0,0.0,Neutral
Samsung A15,5,3,Muy bonito. La calidad para el precio está muy bien. Lo recomiendo por este precio.,2024-10-15,0.0,0.0,Neutral
Samsung A15,5,5,Buen telefono por el precio.,2025-02-22,0.0,0.0,Neutral
Samsung A15,5,4,Lindo telefono pero la funcionalidad es bastante lenta para lo que son hoy los telefonos.,2024-12-27,0.0,0.0,Neutral
Samsung A15,5,4,Hola como estas buenas tardes no lo disfrute nada x q me lo robaron quería saber si tenia algún seguro como para poder recuperar hermoso celular 😪😪.,2024-12-03,0.0,0.0,Neutral
Samsung A15,5,2,"Muy bueno lo estoy usando hace un tiempo, bien no se me tilda no se apaga la pantalla, en si es un (samsung).",2024-11-18,0.0,0.0,Neutral
