atributo,polaridad,producto,ejemplo
bateria,positiva,Motorola G32,"Es un espectáculo, como lo imaginé y mucho más, la cámara es espectacular, fino, delicado, veloz, buena pantalla, la verdad nada negativo, espero q este comentario los ayude a decidir, sinceramente una belleza, la batería dura mucho tiempo, eso q le ..."
bateria,positiva,Motorola G32,"Muy bien celular en relación precio y calidad. Única observación es que la batería no dura mucho, si se usa mucho no llega al día, se descarga un 1% con tres minutos de uso. Led recomiendo cuidar la batería desde el día uno: no dejar que la batería l..."
bateria,positiva,Motorola G32,"Muy conforme con el mot g 32. Velocidad súper. Camara excelente. La batería dura 2 días con uso normal. No me arrepiento de haberlo comprado y lo recomiendo porque trae cargador y funda, así no tenes gastos extras !."
bateria,positiva,Motorola G32,El teléfono es rapidísimo para realizar todas las tareas (aclaro que no lo uso para juegos). La batería dura un montón y además carga muy rápido también. Las cámaras bastante bien y mejoran todavía más instalando la gcam. Mejor relación calidad preci...
bateria,positiva,Motorola G32,"Motorola nada más que decir. Calidad de gama media baja, no esperes gran cosa de la cámara. Buena batería , sonido 10/10, cómodo."
bateria,positiva,Motorola G32,"Es un teléfono que te salva, tenía un g8 y no hay diferencia, la batería dura 24, no usándolo mucho, en este sentido esperaba que durara más. El sonido es bueno. Y la cámara no me deslumbra."
bateria,positiva,Motorola G32,"Hace una semana que lo tengo así que mucho no puedo opinar, pero vamos muy bien solo la batería no dura mucho. Pero ahí vamos."
bateria,positiva,Motorola G32,Buena relación calidad-precio. No lo uso para jugar. Redes sociales y llamadas. La batería realmente dura mucho. Mucha memoria. Recomendable.
bateria,positiva,Motorola G32,"Buen producto calidad precio. No es el más básico ni tiene las peores cámaras como los nuevos que tienen el mismo precio. Es bastante completo para el segmento y la batería dura más de un día en uso extremo sin privarse de juegos, cámaras, llamadas o..."
bateria,positiva,Motorola G32,"Muy recomendable, tiene una muy buena batería y un cargador increíble que es de 33w que carga en una hora y media más o menos y te dura para todo el día, anda muy fluido y anda bien para los juegos, la verdad muy bueno👍🏼."
bateria,positiva,Motorola G32,"Para el precio es muy buen equipo, el tema don las actualizaciones, cada vez que lo encendes entra a cualquier app, la batería dura un día y un poco y eso que lo utilizó poco. Es un equipo recomendable para un uso medido."
bateria,positiva,Motorola G32,"En general estoy muy conforme con el celular, no le pongo todo 5 porque pensé que la batería duraría más (o sea dura bastante, está bueno, pero creía que diaria más) y la cámara es genial solo que no deja de ser una cámara de celular. Reitero, son cr..."
bateria,positiva,Motorola G32,Lo mas lindo es la cámara. La bateria dura bastante.
