producto,rating,cluster,dominant_topic,topic_probability,topic_name,text,date
Samsung A15,5,4,1,0.786638080353842,"Tópico 1: cargador, bien, ahora, trae, compre","El celular es precioso! se lo regale a mi mamá y está fascinada, no he visto problemas y anda a la perfección! la batería una locura, mi mamá lo está usando un montón y todavía no lo ha cargado. Lo que si se me hizo curioso fue el cable del cargador, este vino con 2 fichas iguales (lo muestro en las ultimas fotos) y la verdad desconozco si ahora vienen así, se que ya con el cargador no vienen pero nunca vi que las fichas sean iguales, de todos modos tenemos muchos cargadores en casa así que no nos angustiados. Más allá de esto el celular me encantó y mi mamá está super contenta!.",2024-09-19
Samsung A15,5,4,0,0.8764071761269069,"Tópico 0: precio, calidad, camara, mas, buen",Súper lindo el celu muy recomendado.,2024-07-11
Samsung A15,5,8,0,0.6118481101359879,"Tópico 0: precio, calidad, camara, mas, buen","Esta muy lindo. La cámara linda ,la batería dura un día con uso !! x el precio es muy bueno 👌 lastima vino con un cable usb solo pero es un detalle no. Mas.",2024-08-26
Samsung A15,5,4,0,0.7935209066606074,"Tópico 0: precio, calidad, camara, mas, buen","Realmente el producto me encantó,publico algunas fotos porque la verdad es que a lo que yo le tenia desconfianza era a las cámaras. Están sacadas el fía quedo programé, con el correr de los días le estoy encontrando más cosas que están muy buenas. El equipo lo super recomiendo. Yo tenia un moto g 20. Los mega pídeles de las cámaras los mismos pero les aseguro que lo supera ampliamente. Por supuesto quebrara el valor del equipo van a encontrar mejores. Pero a mi me encantó. El sonido es espectacular los tonos son lindos no molesta. La batería sino lo usas demasiado te dura 2 días. Por ahora considero que es una compra a ciega que me salio excelente.",2024-10-22
Samsung A15,5,4,0,0.5088533423768818,"Tópico 0: precio, calidad, camara, mas, buen",Desde que conocí samsung no deje de usar desde el que venía con tapa y forma ovalada. Tengo 80 años y me gusta mucho el sistema de esta marca. Todas no use todas las ap. Amo el celular. No se subir fotos. Una pena. Pero no tiene que ver con ls calidad del movil.,2024-10-07
Samsung A15,5,6,0,0.6036649980712253,"Tópico 0: precio, calidad, camara, mas, buen","Muy bueno, hasta ahora estoy muy satisfecha, solo que el cabezal del cargador no lo trae, solo usb. A y la batería un poco me sorprendió pensé que hiba a durar mucho más. Pero estoy chocha con mí celular samsung a15 y lo mejor a muy buen precio 🤩 no desaprovechen samsung la mejor marca.",2024-09-11
Samsung A15,5,4,1,0.5074029908386618,"Tópico 1: cargador, bien, ahora, trae, compre",Hermoso celular y a un buen precio. Contenta con mercado libre. Excelente pagina.,2024-09-11
Samsung A15,5,3,0,0.6647634297590987,"Tópico 0: precio, calidad, camara, mas, buen","Después de probarlo varios días , llegué a la conclusión de que es un buen celular excelente , calidad precio. Lo volvería a comprar.",2024-08-13
Samsung A15,5,6,1,0.9583935785013925,"Tópico 1: cargador, bien, ahora, trae, compre","Es muy lindo y se ve resistente. Lo malo es que no trae nada. Nisiquiera cargador, cable usb. Nada. Creo que no es el más barato como para no traer nisiquiera un cargador.",2024-09-03
Samsung A15,5,4,0,0.9228971619215045,"Tópico 0: precio, calidad, camara, mas, buen","Un caño el celular, super rapido. Recomendable su compra.",2024-06-11
